Feature,Normalized.Dispersion
ENSG00000197880,0.12080029247547472
ENSG00000142676,-1.0939169664973227
ENSG00000236810,3.3777049355586963
ENSG00000011007,-1.130676208265933
ENSG00000057757,-1.0736358076115446
ENSG00000289835,NaN
ENSG00000011009,-0.21713005417976952
ENSG00000117308,-1.4923921645052574
ENSG00000117305,0.11528505417856606
ENSG00000179163,-1.3758282487209295
ENSG00000188822,3.918763277921723
ENSG00000232557,0.9324337537519306
ENSG00000189266,-1.5015959112493615
ENSG00000188529,-1.3573002957410707
ENSG00000142661,NaN
ENSG00000142677,NaN
ENSG00000185436,3.6568831341788295
ENSG00000158055,NaN
ENSG00000232298,NaN
ENSG00000001460,2.626728540806814
ENSG00000001461,1.7182557621604626
ENSG00000288982,2.1376740870414555
ENSG00000286061,7.662507550221357
ENSG00000117602,3.29840343848631
ENSG00000264443,-1.0827032075550564
ENSG00000184454,0.01985663744004821
ENSG00000133226,-0.9551463897613531
ENSG00000284699,NaN
ENSG00000169504,5.9399194140175
ENSG00000020633,2.1752080804854437
ENSG00000261025,NaN
ENSG00000285823,NaN
ENSG00000233755,4.5424071312960415
ENSG00000231953,1.1234479680123837
ENSG00000117614,-1.703529219610078
ENSG00000284602,-1.0577006445448125
ENSG00000284657,NaN
ENSG00000117616,-0.7140516000981598
ENSG00000272432,0.4726594902359337
ENSG00000187010,4.448110928384504
ENSG00000183726,1.3798347533268547
ENSG00000188672,1.1902443400466098
ENSG00000204178,0.21599735708865644
ENSG00000157978,3.4181740379125647
ENSG00000225643,-0.8610783535736056
ENSG00000117643,2.3851369808093716
ENSG00000233478,0.853731537109887
ENSG00000162430,-1.5065515386002364
ENSG00000228172,3.5444002754080923
ENSG00000117640,0.9041122878087984
ENSG00000127423,-3.937085751378452
ENSG00000236528,-1.0817881527568072
ENSG00000182749,-1.355641404576124
ENSG00000117632,8.957330085909057
ENSG00000158006,1.4109628941701227
ENSG00000158014,NaN
ENSG00000284309,NaN
ENSG00000175087,0.2667490618803751
ENSG00000142684,3.89283956715686
ENSG00000142675,0.10569588435303655
ENSG00000130695,0.4931563916638478
ENSG00000142669,4.098539134596468
ENSG00000158062,-0.322933386997175
ENSG00000169442,-0.5822114920121672
ENSG00000176092,0.9247243591600578
ENSG00000176083,15.148835425473512
ENSG00000131914,NaN
ENSG00000117682,-0.4628900785936487
ENSG00000225891,-0.6130509338919878
ENSG00000198830,-0.7011646437621091
ENSG00000117676,-1.4121132175074493
ENSG00000289452,NaN
ENSG00000260063,0.7913659355504068
ENSG00000290006,NaN
ENSG00000117713,-0.4585482604879478
ENSG00000060642,-1.1710393470714036
ENSG00000204160,-0.8885197358843774
ENSG00000175793,NaN
ENSG00000142751,-0.7376476016336944
ENSG00000289554,-1.4456164836755259
ENSG00000198746,-0.5943282863208587
ENSG00000090273,-1.8581973689700864
ENSG00000175707,-0.009448772934551831
ENSG00000253368,-0.2726650999269725
ENSG00000158246,-8.195775359040777
ENSG00000090020,0.5702019771703379
ENSG00000224311,NaN
ENSG00000142784,1.0737954311107862
ENSG00000186501,-0.6197420398897517
ENSG00000142765,0.8890348116884932
ENSG00000142733,-1.2728624705934972
ENSG00000181773,NaN
ENSG00000158195,-0.300324447351945
ENSG00000241169,-1.2770291603411976
ENSG00000237429,21.066844219851664
ENSG00000126705,1.108438497030257
ENSG00000000938,2.397407635919107
ENSG00000233975,NaN
ENSG00000126709,5.500068270741695
ENSG00000225886,0.011299784481845116
ENSG00000287244,NaN
ENSG00000009780,0.220006238311039
ENSG00000117758,-0.4730799205798621
ENSG00000269971,0.23643357835961057
ENSG00000270031,-1.8307969350390798
ENSG00000286433,-1.168835996534745
ENSG00000117751,-1.6638977241891901
ENSG00000130775,0.17443426738917542
ENSG00000117748,-1.3725870315782935
ENSG00000130768,-0.8836968173109161
ENSG00000227050,-1.2794600391907291
ENSG00000158156,-1.0245130887348906
ENSG00000158161,0.824110666498899
ENSG00000289576,-1.020715518349514
ENSG00000169403,1.7763659334710846
ENSG00000126698,-1.6946250328288401
ENSG00000290123,2.7314450436918443
ENSG00000130770,-1.6294493380840833
ENSG00000270605,-1.3270794460697122
ENSG00000271398,NaN
ENSG00000130766,0.6461086216695459
ENSG00000130772,0.7372113006494341
ENSG00000204138,1.4701881472867926
ENSG00000180198,9.172944467037055
